r1_domain,r2_domain,r1_h_index,r2_h_index,r1_publications,r2_publications,r1_years_experience,r2_years_experience,r1_institution,r2_institution,r1_country,r2_country,r1_citations,r2_citations,r1_grants,r2_grants,shared_keywords,same_domain,same_institution_type,same_country,h_index_diff,experience_diff,total_grants,avg_publications,compatibility_score,compatible
Robotics,Data Science,7,13,36,29,28,5,Private University,Research Institute,India,Germany,468,435,6,5,1,0,0,0,6,23,11,32.5,44,0
Quantum Computing,Cybersecurity,15,8,22,21,5,4,Research Institute,Central University,Australia,Australia,220,210,9,9,1,0,0,1,7,1,18,21.5,60,1
IoT,IoT,7,10,26,25,19,3,Private University,Private University,Germany,USA,572,525,0,4,6,1,1,0,3,16,4,25.5,70,1
NLP,IoT,11,8,41,21,7,4,Research Institute,Private University,USA,USA,861,231,7,7,0,0,0,1,3,3,14,31.0,72,1
Cloud Computing,Robotics,9,4,52,30,11,25,Research Institute,Private University,India,Germany,1196,150,1,0,0,0,0,0,5,14,1,41.0,20,0
Machine Learning,Data Science,20,28,53,45,9,3,NIT,IIT,Australia,Australia,954,585,5,2,1,0,0,1,8,6,7,49.0,72,1
Cybersecurity,Data Science,5,9,15,38,10,10,IIT,Research Institute,India,UK,195,646,5,6,1,0,0,0,4,0,11,26.5,45,0
Machine Learning,Computer Vision,6,5,20,38,26,13,Research Institute,Central University,USA,UK,160,456,6,1,0,0,0,0,1,13,7,29.0,69,1
Data Science,IoT,4,14,33,32,25,29,Central University,IIT,UK,USA,726,704,1,1,0,0,0,0,10,4,2,32.5,39,0
NLP,Machine Learning,12,7,34,31,24,18,Research Institute,Central University,Germany,UK,782,155,7,0,1,0,0,0,5,6,7,32.5,61,1
Robotics,IoT,9,15,23,45,13,21,NIT,IIT,Canada,India,368,450,4,5,0,0,0,0,6,8,9,34.0,74,1
Cloud Computing,Machine Learning,6,7,19,20,13,21,Central University,Private University,India,Germany,133,280,9,9,1,0,0,0,1,8,18,19.5,52,0
Quantum Computing,IoT,2,12,22,38,15,28,Central University,Central University,Australia,Germany,132,760,7,1,0,0,1,0,10,13,8,30.0,24,0
IoT,NLP,3,4,16,13,21,10,Research Institute,Research Institute,USA,Canada,304,299,7,5,0,0,1,0,1,11,12,14.5,53,0
IoT,IoT,5,14,17,36,16,2,Private University,NIT,Canada,Canada,306,864,7,8,6,1,0,1,9,14,15,26.5,67,1
Data Science,Quantum Computing,16,11,32,37,9,6,IIT,Private University,Australia,Germany,288,629,9,2,1,0,0,0,5,3,11,34.5,54,0
Robotics,Cloud Computing,14,5,31,21,17,16,Private University,IIT,UK,Canada,527,105,8,5,0,0,0,0,9,1,13,26.0,47,0
IoT,Computer Vision,5,5,19,24,4,19,Central University,NIT,Canada,Canada,190,312,5,3,0,0,0,1,0,15,8,21.5,50,0
Machine Learning,Bioinformatics,20,6,46,21,16,26,Research Institute,Research Institute,Canada,Canada,690,273,5,8,0,0,1,1,14,10,13,33.5,44,0
Computer Vision,Robotics,6,21,31,31,21,7,Research Institute,Research Institute,India,Australia,217,341,5,6,1,0,1,0,15,14,11,31.0,17,0
Quantum Computing,Cloud Computing,4,16,23,28,29,24,IIT,NIT,Australia,Germany,207,560,4,3,0,0,0,0,12,5,7,25.5,40,0
Cloud Computing,Cloud Computing,7,9,20,25,13,24,IIT,NIT,India,India,400,325,7,6,6,1,0,1,2,11,13,22.5,80,1
Bioinformatics,Quantum Computing,13,11,47,38,5,2,NIT,Private University,USA,India,705,228,4,5,1,0,0,0,2,3,9,42.5,57,1
Cloud Computing,Cybersecurity,3,9,18,47,14,2,Research Institute,Research Institute,UK,India,432,893,3,7,0,0,1,0,6,12,10,32.5,55,1
IoT,Cybersecurity,6,7,21,23,28,23,IIT,NIT,UK,Germany,357,391,6,4,1,0,0,0,1,5,10,22.0,57,1
Machine Learning,Cybersecurity,7,14,39,29,24,20,Research Institute,Central University,UK,India,858,696,4,6,0,0,0,0,7,4,10,34.0,43,0
Computer Vision,NLP,1,7,20,29,12,11,IIT,Central University,Australia,USA,460,638,1,1,0,0,0,0,6,1,2,24.5,44,0
NLP,NLP,7,8,18,27,13,21,Central University,Central University,India,Germany,234,540,0,8,6,1,1,0,1,8,8,22.5,94,1
NLP,Data Science,10,7,15,34,6,15,IIT,NIT,Australia,India,360,578,5,9,0,0,0,0,3,9,14,24.5,63,1
Machine Learning,Computer Vision,12,6,21,22,15,4,Central University,Central University,Germany,USA,399,330,9,4,1,0,1,0,6,11,13,21.5,49,0
Cybersecurity,Cybersecurity,20,15,43,29,11,1,Central University,IIT,UK,India,946,609,9,9,6,1,0,0,5,10,18,36.0,79,1
Robotics,Quantum Computing,5,6,25,37,19,23,NIT,NIT,Australia,Germany,575,814,9,7,1,0,1,0,1,4,16,31.0,52,0
Cloud Computing,Computer Vision,10,6,25,19,17,21,Research Institute,Central University,Germany,India,425,380,4,0,0,0,0,0,4,4,4,22.0,49,0
Data Science,Cybersecurity,7,11,19,31,6,12,Private University,IIT,Australia,Germany,95,496,0,9,0,0,0,0,4,6,9,25.0,40,0
Machine Learning,Robotics,15,10,34,25,14,23,Private University,IIT,Canada,UK,238,350,4,9,0,0,0,0,5,9,13,29.5,55,1
Cloud Computing,Computer Vision,6,6,18,30,9,24,Research Institute,NIT,Canada,Australia,252,150,9,2,1,0,0,0,0,15,11,24.0,57,1
NLP,Cybersecurity,5,10,38,19,8,15,Central University,Private University,Australia,India,304,380,0,6,1,0,0,0,5,7,6,28.5,42,0
Cloud Computing,Data Science,11,18,53,40,9,26,NIT,Research Institute,USA,USA,371,320,9,2,0,0,0,1,7,17,11,46.5,53,0
Robotics,Cloud Computing,3,11,12,20,4,6,Research Institute,Private University,Germany,India,180,220,1,6,0,0,0,0,8,2,7,16.0,34,0
Machine Learning,Bioinformatics,15,5,34,15,8,21,Private University,NIT,Australia,India,816,360,8,5,0,0,0,0,10,13,13,24.5,24,0
Machine Learning,Quantum Computing,7,10,39,21,21,26,Private University,Central University,UK,Canada,234,462,3,2,1,0,0,0,3,5,5,30.0,69,1
Cybersecurity,Robotics,8,16,32,43,28,25,Central University,Research Institute,Canada,Australia,544,301,5,5,1,0,0,0,8,3,10,37.5,42,0
Bioinformatics,Cloud Computing,2,6,12,26,12,5,IIT,Research Institute,USA,India,180,598,0,2,0,0,0,0,4,7,2,19.0,31,0
Bioinformatics,Computer Vision,15,5,39,17,9,15,IIT,NIT,Germany,Canada,819,408,9,5,0,0,0,0,10,6,14,28.0,41,0
Cloud Computing,Robotics,9,8,33,21,23,19,Central University,Research Institute,Germany,Australia,396,189,9,9,1,0,0,0,1,4,18,27.0,51,0
Data Science,Bioinformatics,14,15,74,28,14,10,Central University,Private University,Canada,UK,444,252,3,0,1,0,0,0,1,4,3,51.0,80,1
Robotics,Robotics,15,7,37,13,7,27,Central University,Private University,UK,Australia,629,182,8,6,6,1,0,0,8,20,14,25.0,59,1
Data Science,NLP,18,4,30,11,8,8,IIT,IIT,Canada,Australia,660,231,6,7,1,0,1,0,14,0,13,20.5,43,0
IoT,NLP,5,15,25,26,25,8,IIT,Private University,India,Australia,550,572,7,7,0,0,0,0,10,17,14,25.5,27,0
IoT,Computer Vision,16,9,42,26,16,20,Private University,IIT,Australia,Australia,840,234,7,0,0,0,0,1,7,4,7,34.0,63,1
Machine Learning,Computer Vision,15,3,34,14,22,4,Private University,Central University,Canada,Germany,476,266,2,0,1,0,0,0,12,18,2,24.0,45,0
Quantum Computing,NLP,5,6,25,33,13,15,Central University,IIT,Germany,India,600,264,1,7,1,0,0,0,1,2,8,29.0,69,1
IoT,IoT,6,13,32,30,14,5,Central University,IIT,USA,USA,192,360,0,3,6,1,0,1,7,9,3,31.0,79,1
Machine Learning,Data Science,7,18,19,43,19,26,Central University,NIT,Canada,India,247,903,4,1,0,0,0,0,11,7,5,31.0,66,1
Quantum Computing,Robotics,10,5,22,29,25,27,Central University,NIT,Canada,Germany,484,261,5,2,0,0,0,0,5,2,7,25.5,41,0
Data Science,IoT,8,8,21,21,26,10,IIT,Research Institute,UK,USA,336,294,7,3,0,0,0,0,0,16,10,21.0,55,1
Machine Learning,Cybersecurity,12,12,36,33,21,9,NIT,IIT,Canada,UK,252,231,4,1,1,0,0,0,0,12,5,34.5,50,0
Quantum Computing,NLP,9,5,29,23,13,1,Research Institute,Research Institute,Germany,USA,348,437,3,5,0,0,1,0,4,12,8,26.0,36,0
Quantum Computing,NLP,5,8,19,21,6,8,Research Institute,IIT,Australia,Australia,152,147,0,5,1,0,0,1,3,2,5,20.0,55,1
NLP,Bioinformatics,4,8,28,45,29,19,IIT,Research Institute,USA,USA,644,405,2,2,0,0,0,1,4,10,4,36.5,61,1
Cloud Computing,Machine Learning,8,15,25,58,12,7,Central University,Research Institute,USA,Australia,375,290,0,2,0,0,0,0,7,5,2,41.5,52,0
Bioinformatics,Machine Learning,5,8,24,29,11,5,Research Institute,Private University,Germany,Canada,312,580,0,3,0,0,0,0,3,6,3,26.5,63,1
Machine Learning,Cybersecurity,16,7,40,21,8,17,Central University,Central University,Germany,India,920,105,2,3,0,0,1,0,9,9,5,30.5,41,0
Cloud Computing,Data Science,12,10,31,27,15,1,Private University,Research Institute,Germany,India,620,513,5,1,1,0,0,0,2,14,6,29.0,59,1
Robotics,Cybersecurity,25,2,42,17,23,19,IIT,Research Institute,UK,Germany,756,289,3,8,0,0,0,0,23,4,11,29.5,36,0
Data Science,Robotics,11,8,30,63,12,26,IIT,Central University,Germany,India,240,441,4,5,1,0,0,0,3,14,9,46.5,57,1
Quantum Computing,Robotics,12,3,28,18,22,20,IIT,Private University,Canada,India,504,306,6,2,0,0,0,0,9,2,8,23.0,36,0
Robotics,Data Science,7,17,13,28,29,26,NIT,Central University,USA,India,247,196,2,8,0,0,0,0,10,3,10,20.5,35,0
Computer Vision,Cybersecurity,3,20,14,36,3,17,IIT,IIT,Germany,Australia,140,504,7,6,1,0,1,0,17,14,13,25.0,26,0
Data Science,Computer Vision,12,14,30,21,5,15,Central University,Private University,USA,USA,270,294,6,6,1,0,0,1,2,10,12,25.5,65,1
Data Science,Cloud Computing,1,4,27,29,18,8,IIT,NIT,UK,India,270,261,8,5,1,0,0,0,3,10,13,28.0,68,1
Quantum Computing,Computer Vision,5,13,15,45,15,16,Research Institute,Private University,Germany,Australia,345,315,3,3,0,0,0,0,8,1,6,30.0,33,0
Computer Vision,Machine Learning,14,12,26,20,28,20,IIT,Private University,India,UK,234,120,2,3,1,0,0,0,2,8,5,23.0,80,1
Computer Vision,IoT,14,10,24,46,15,19,NIT,IIT,India,UK,240,736,6,6,0,0,0,0,4,4,12,35.0,56,1
Quantum Computing,Computer Vision,9,16,23,34,8,3,Private University,IIT,India,Australia,253,272,4,2,0,0,0,0,7,5,6,28.5,54,0
Machine Learning,Cybersecurity,29,5,47,33,12,27,Central University,IIT,Germany,Australia,470,594,6,2,0,0,0,0,24,15,8,40.0,41,0
Cybersecurity,Quantum Computing,11,12,23,29,6,18,NIT,IIT,Australia,Germany,253,638,1,9,0,0,0,0,1,12,10,26.0,45,0
Cybersecurity,Quantum Computing,4,12,32,31,17,15,Private University,Research Institute,Germany,India,480,465,1,7,1,0,0,0,8,2,8,31.5,43,0
Data Science,Cloud Computing,6,7,43,42,23,29,IIT,Central University,Germany,Australia,602,840,9,4,1,0,0,0,1,6,13,42.5,57,1
Robotics,Machine Learning,14,17,21,41,17,22,IIT,Research Institute,India,Canada,294,779,2,6,0,0,0,0,3,5,8,31.0,68,1
Computer Vision,Quantum Computing,7,7,24,16,3,24,Research Institute,NIT,USA,Canada,504,208,7,5,0,0,0,0,0,21,12,20.0,40,0
Cloud Computing,Cybersecurity,9,5,34,9,17,2,Central University,Private University,UK,Canada,578,135,8,0,1,0,0,0,4,15,8,21.5,56,1
Quantum Computing,Robotics,3,12,40,35,7,3,Private University,NIT,USA,India,400,420,5,6,0,0,0,0,9,4,11,37.5,36,0
Machine Learning,Quantum Computing,10,10,30,50,18,1,NIT,Private University,UK,Australia,300,650,0,9,0,0,0,0,0,17,9,40.0,55,1
Data Science,Cloud Computing,4,15,22,68,26,13,Central University,NIT,Australia,USA,528,1292,7,8,0,0,0,0,11,13,15,45.0,34,0
IoT,Data Science,16,9,34,19,13,28,Central University,Central University,Australia,UK,816,456,7,0,0,0,1,0,7,15,7,26.5,35,0
Machine Learning,NLP,12,4,26,28,22,21,Research Institute,IIT,Australia,USA,468,616,2,1,1,0,0,0,8,1,3,27.0,51,0
Cloud Computing,Cybersecurity,13,11,32,25,7,4,Research Institute,Central University,India,USA,224,150,6,6,1,0,0,0,2,3,12,28.5,67,1
Robotics,Data Science,7,6,30,27,4,28,NIT,NIT,India,Canada,300,324,0,3,1,0,1,0,1,24,3,28.5,38,0
IoT,Data Science,14,5,29,18,10,21,Private University,Research Institute,Australia,Australia,348,126,2,2,1,0,0,1,9,11,4,23.5,32,0
Data Science,Cybersecurity,6,3,25,16,13,27,Research Institute,Central University,UK,USA,500,336,5,4,0,0,0,0,3,14,9,20.5,45,0
Computer Vision,IoT,9,6,36,26,6,11,Private University,NIT,India,India,396,624,4,0,0,0,0,1,3,5,4,31.0,70,1
Robotics,Quantum Computing,7,19,20,33,9,22,NIT,NIT,Germany,USA,140,429,2,2,1,0,1,0,12,13,4,26.5,28,0
IoT,Cybersecurity,5,3,10,19,21,5,Central University,NIT,Canada,Germany,70,418,3,8,1,0,0,0,2,16,11,14.5,41,0
NLP,Machine Learning,5,9,19,21,27,14,IIT,IIT,UK,UK,95,147,5,9,0,0,1,1,4,13,14,20.0,64,1
Machine Learning,NLP,6,4,18,25,5,5,Research Institute,Central University,India,Germany,414,375,1,9,0,0,0,0,2,0,10,21.5,65,1
Robotics,Machine Learning,36,10,50,43,10,16,Research Institute,IIT,UK,USA,1200,258,1,2,0,0,0,0,26,6,3,46.5,42,0
Robotics,Robotics,20,13,35,47,12,27,Central University,Central University,USA,Canada,455,1034,2,1,6,1,1,0,7,15,3,41.0,58,1
NLP,Robotics,11,10,43,33,14,25,Central University,NIT,Australia,USA,731,726,7,3,0,0,0,0,1,11,10,38.0,62,1
Machine Learning,Computer Vision,27,6,49,33,25,8,NIT,IIT,UK,Canada,1029,627,3,1,0,0,0,0,21,17,4,41.0,41,0
NLP,Computer Vision,22,23,44,70,28,3,Private University,Central University,Canada,USA,1012,1050,4,7,1,0,0,0,1,25,11,57.0,47,0
Bioinformatics,Data Science,6,6,22,23,10,27,Private University,Central University,USA,Canada,154,552,5,5,0,0,0,0,0,17,10,22.5,63,1
NLP,Cybersecurity,10,4,25,17,4,15,Research Institute,IIT,Australia,India,500,221,1,6,0,0,0,0,6,11,7,21.0,43,0
NLP,Robotics,5,4,19,12,4,10,NIT,Research Institute,USA,Germany,304,108,1,2,1,0,0,0,1,6,3,15.5,40,0
Data Science,Cybersecurity,6,4,18,25,28,2,Central University,NIT,Australia,India,306,600,1,6,0,0,0,0,2,26,7,21.5,44,0
Quantum Computing,Cloud Computing,19,8,34,21,19,1,Research Institute,Central University,USA,USA,408,357,3,2,0,0,0,1,11,18,5,27.5,45,0
Data Science,Bioinformatics,2,4,30,57,5,23,NIT,NIT,India,Australia,600,570,4,9,0,0,1,0,2,18,13,43.5,51,0
Quantum Computing,Computer Vision,9,5,20,26,12,12,Private University,Private University,USA,Canada,480,572,1,8,0,0,1,0,4,0,9,23.0,38,0
Quantum Computing,Cloud Computing,17,5,32,15,16,15,IIT,Private University,USA,Canada,576,105,3,5,0,0,0,0,12,1,8,23.5,39,0
Cloud Computing,Cloud Computing,12,5,38,16,27,25,Central University,Private University,Germany,USA,304,112,2,9,6,1,0,0,7,2,11,27.0,82,1
Data Science,IoT,15,16,27,37,24,9,Central University,Private University,Australia,Germany,189,481,5,4,1,0,0,0,1,15,9,32.0,49,0
Bioinformatics,Quantum Computing,3,24,25,29,18,27,Research Institute,IIT,Germany,USA,325,232,2,1,0,0,0,0,21,9,3,27.0,43,0
Robotics,Robotics,12,8,33,19,19,7,NIT,Private University,Germany,USA,396,361,8,2,6,1,0,0,4,12,10,26.0,60,1
Bioinformatics,Quantum Computing,2,6,29,30,23,10,Private University,NIT,Germany,UK,580,360,1,0,1,0,0,0,4,13,1,29.5,27,0
Bioinformatics,NLP,9,12,17,23,9,3,Research Institute,IIT,India,UK,374,115,0,2,1,0,0,0,3,6,2,20.0,45,0
IoT,Robotics,24,9,38,25,6,6,Research Institute,Research Institute,UK,India,570,325,7,5,1,0,1,0,15,0,12,31.5,39,0
IoT,Data Science,7,7,18,14,13,6,Research Institute,Private University,Australia,Germany,90,126,0,5,1,0,0,0,0,7,5,16.0,51,0
IoT,Data Science,19,12,23,35,2,10,Private University,Private University,Germany,UK,276,805,8,6,1,0,1,0,7,8,14,29.0,47,0
Bioinformatics,NLP,3,10,27,35,26,22,Private University,Private University,India,USA,513,315,2,7,1,0,1,0,7,4,9,31.0,51,0
Bioinformatics,Computer Vision,6,13,36,35,9,18,IIT,Central University,UK,Australia,648,595,6,3,1,0,0,0,7,9,9,35.5,52,0
Cloud Computing,Computer Vision,11,3,42,33,2,28,Research Institute,Central University,Canada,USA,504,396,0,2,1,0,0,0,8,26,2,37.5,36,0
Computer Vision,Data Science,5,7,33,35,1,24,IIT,IIT,India,Australia,264,385,2,3,0,0,1,0,2,23,5,34.0,49,0
Robotics,Data Science,4,7,19,40,9,7,Central University,Central University,USA,UK,304,720,7,3,1,0,1,0,3,2,10,29.5,53,0
Bioinformatics,Quantum Computing,6,7,20,16,12,26,NIT,NIT,Canada,Canada,460,224,0,1,1,0,1,1,1,14,1,18.0,34,0
Cloud Computing,Bioinformatics,3,4,10,9,11,21,Central University,Central University,India,UK,230,144,9,9,0,0,1,0,1,10,18,9.5,52,0
Cybersecurity,Machine Learning,7,3,24,16,12,20,Private University,Private University,Australia,Canada,216,208,9,4,0,0,1,0,4,8,13,20.0,47,0
Cloud Computing,Robotics,4,9,12,31,26,9,NIT,NIT,Germany,Canada,72,682,5,9,0,0,1,0,5,17,14,21.5,31,0
Robotics,Cloud Computing,9,12,57,33,19,13,Private University,Research Institute,USA,Australia,399,297,9,9,0,0,0,0,3,6,18,45.0,73,1
IoT,Computer Vision,17,6,38,18,25,13,Private University,Central University,UK,USA,570,90,0,5,0,0,0,0,11,12,5,28.0,37,0
Cybersecurity,IoT,5,12,26,24,29,22,Private University,Private University,USA,Australia,468,144,9,3,1,0,1,0,7,7,12,25.0,53,0
Machine Learning,Quantum Computing,8,8,32,23,6,26,Central University,NIT,USA,UK,576,322,7,9,0,0,0,0,0,20,16,27.5,58,1
Machine Learning,Data Science,3,6,23,12,15,16,Private University,Central University,Canada,USA,230,228,8,2,0,0,0,0,3,1,10,17.5,72,1
Cybersecurity,Cybersecurity,9,6,34,34,9,14,Private University,Research Institute,Canada,UK,408,680,8,5,6,1,0,0,3,5,13,34.0,92,1
Data Science,Quantum Computing,5,4,44,21,3,17,Research Institute,IIT,India,USA,440,105,0,5,1,0,0,0,1,14,5,32.5,40,0
NLP,Quantum Computing,5,19,23,38,6,23,Central University,Research Institute,Australia,Australia,437,494,1,9,1,0,0,1,14,17,10,30.5,49,0
Cybersecurity,Cybersecurity,9,21,14,41,17,13,Private University,IIT,USA,Australia,196,369,4,4,6,1,0,0,12,4,8,27.5,78,1
Cybersecurity,Computer Vision,8,16,20,37,4,1,NIT,Central University,Germany,Australia,260,296,9,8,1,0,0,0,8,3,17,28.5,47,0
IoT,NLP,7,6,43,24,12,23,Central University,IIT,India,Canada,989,168,4,7,1,0,0,0,1,11,11,33.5,57,1
Cloud Computing,Quantum Computing,7,11,29,18,1,3,NIT,Private University,India,India,522,432,8,4,1,0,0,1,4,2,12,23.5,59,1
NLP,Cybersecurity,2,7,9,32,7,14,NIT,Central University,India,USA,180,608,5,6,0,0,0,0,5,7,11,20.5,50,0
Robotics,Cloud Computing,9,4,41,31,28,19,Central University,IIT,Canada,Germany,574,527,2,5,0,0,0,0,5,9,7,36.0,55,1
Machine Learning,Machine Learning,7,8,39,15,2,27,Central University,NIT,Australia,UK,819,135,8,2,6,1,0,0,1,25,10,27.0,75,1
Cybersecurity,Computer Vision,2,4,27,15,17,25,Private University,NIT,USA,Australia,324,75,9,8,1,0,0,0,2,8,17,21.0,59,1
Cybersecurity,Computer Vision,5,18,26,28,14,15,Private University,Private University,Canada,USA,442,644,3,1,1,0,1,0,13,1,4,27.0,30,0
NLP,Cybersecurity,5,10,20,38,16,11,NIT,Private University,UK,USA,360,494,5,9,1,0,0,0,5,5,14,29.0,63,1
Quantum Computing,Quantum Computing,12,5,31,29,11,25,Research Institute,NIT,UK,Australia,155,232,6,7,6,1,0,0,7,14,13,30.0,82,1
IoT,Machine Learning,6,12,14,15,25,7,Central University,NIT,USA,Germany,196,195,5,8,0,0,0,0,6,18,13,14.5,30,0
Computer Vision,Robotics,4,6,23,33,29,7,Private University,Research Institute,Australia,UK,529,264,6,9,1,0,0,0,2,22,15,28.0,54,0
Quantum Computing,IoT,10,7,29,34,7,14,Private University,Research Institute,Germany,India,609,612,3,9,1,0,0,0,3,7,12,31.5,55,1
Computer Vision,IoT,11,4,30,18,12,13,Central University,Central University,Canada,Canada,420,144,2,0,1,0,1,1,7,1,2,24.0,38,0
Bioinformatics,NLP,4,10,23,26,27,29,Private University,Private University,Australia,USA,460,182,3,3,1,0,1,0,6,2,6,24.5,49,0
NLP,Cybersecurity,14,15,19,37,20,17,Research Institute,Private University,Canada,Germany,399,370,5,1,1,0,0,0,1,3,6,28.0,66,1
NLP,Cybersecurity,12,18,25,35,10,5,Research Institute,IIT,India,USA,425,525,2,1,0,0,0,0,6,5,3,30.0,51,0
NLP,Cloud Computing,7,11,25,53,5,17,Central University,Central University,Canada,Canada,400,1219,0,1,1,0,1,1,4,12,1,39.0,37,0
Computer Vision,Cybersecurity,9,10,29,28,28,28,NIT,Research Institute,Germany,India,493,476,4,3,0,0,0,0,1,0,7,28.5,54,0
Data Science,Cloud Computing,13,18,41,36,11,9,IIT,Central University,India,Germany,451,576,1,5,1,0,0,0,5,2,6,38.5,46,0
IoT,Robotics,12,6,29,31,28,29,NIT,Research Institute,UK,India,696,589,9,2,1,0,0,0,6,1,11,30.0,61,1
IoT,IoT,6,9,17,35,28,10,IIT,Private University,India,UK,238,490,4,7,6,1,0,0,3,18,11,26.0,82,1
Cybersecurity,Machine Learning,7,9,15,22,23,8,NIT,IIT,Germany,UK,345,308,3,0,0,0,0,0,2,15,3,18.5,32,0
Computer Vision,IoT,4,18,51,36,13,23,NIT,Private University,UK,Germany,714,468,2,8,1,0,0,0,14,10,10,43.5,39,0
Computer Vision,Robotics,20,10,39,25,29,5,IIT,Private University,Australia,USA,741,275,5,8,1,0,0,0,10,24,13,32.0,45,0
IoT,NLP,25,7,52,24,29,4,Central University,IIT,USA,Australia,884,576,2,6,1,0,0,0,18,25,8,38.0,40,0
Computer Vision,Computer Vision,13,8,37,22,15,13,NIT,Research Institute,UK,Canada,518,506,3,1,6,1,0,0,5,2,4,29.5,84,1
Cybersecurity,Machine Learning,5,23,26,44,11,23,NIT,Central University,India,USA,468,220,8,1,0,0,0,0,18,12,9,35.0,38,0
IoT,Robotics,8,12,34,33,17,13,Central University,IIT,USA,Canada,748,363,6,9,1,0,0,0,4,4,15,33.5,67,1
Cloud Computing,Machine Learning,11,7,49,30,23,27,NIT,Research Institute,Germany,Canada,784,390,3,3,0,0,0,0,4,4,6,39.5,56,1
Computer Vision,Bioinformatics,2,8,9,26,7,27,Private University,Private University,Canada,India,117,338,9,0,1,0,1,0,6,20,9,17.5,24,0
Quantum Computing,Cybersecurity,8,8,28,21,19,29,IIT,NIT,India,USA,252,273,4,6,1,0,0,0,0,10,10,24.5,59,1
Data Science,Computer Vision,10,17,35,35,8,29,NIT,IIT,USA,Germany,490,315,1,2,0,0,0,0,7,21,3,35.0,28,0
Machine Learning,Robotics,19,18,51,35,13,29,IIT,IIT,UK,USA,1122,280,9,5,1,0,1,0,1,16,14,43.0,44,0
Computer Vision,NLP,9,3,35,22,12,4,NIT,IIT,Canada,Germany,840,198,8,8,0,0,0,0,6,8,16,28.5,53,0
Cloud Computing,Data Science,6,5,30,30,29,6,IIT,Research Institute,UK,Canada,570,720,1,1,0,0,0,0,1,23,2,30.0,52,0
Robotics,Cloud Computing,7,12,13,25,1,12,Research Institute,Private University,USA,Germany,169,125,5,6,0,0,0,0,5,11,11,19.0,28,0
Computer Vision,Computer Vision,3,13,33,40,28,12,NIT,Central University,USA,UK,462,280,7,6,6,1,0,0,10,16,13,36.5,61,1
NLP,Data Science,8,6,20,15,10,25,IIT,IIT,Germany,Germany,400,210,2,8,0,0,1,1,2,15,10,17.5,48,0
Robotics,Computer Vision,10,5,32,8,8,19,Private University,Central University,USA,Canada,320,72,7,6,0,0,0,0,5,11,13,20.0,40,0
Quantum Computing,Computer Vision,5,14,41,37,3,14,Central University,NIT,India,Germany,410,592,2,6,0,0,0,0,9,11,8,39.0,34,0
Bioinformatics,Computer Vision,9,12,15,16,16,7,Research Institute,Research Institute,Germany,Australia,195,240,7,1,1,0,1,0,3,9,8,15.5,45,0
NLP,Quantum Computing,11,14,25,34,14,14,Central University,Central University,India,Canada,525,612,1,4,0,0,1,0,3,0,5,29.5,52,0
Cybersecurity,NLP,11,5,50,33,3,21,NIT,Central University,UK,Canada,1200,363,1,3,1,0,0,0,6,18,4,41.5,43,0
IoT,Machine Learning,13,10,58,24,22,7,IIT,Research Institute,UK,Australia,1276,528,9,1,1,0,0,0,3,15,10,41.0,46,0
IoT,Robotics,9,3,43,20,17,22,Private University,Research Institute,Australia,Australia,1032,280,1,1,1,0,0,1,6,5,2,31.5,68,1
Machine Learning,Quantum Computing,6,14,18,19,7,6,NIT,IIT,India,UK,198,285,3,3,0,0,0,0,8,1,6,18.5,24,0
Robotics,Quantum Computing,7,32,24,51,12,9,Private University,IIT,USA,India,336,765,5,5,1,0,0,0,25,3,10,37.5,49,0
NLP,Bioinformatics,7,11,31,38,19,2,Central University,NIT,Germany,USA,651,912,0,8,0,0,0,0,4,17,8,34.5,31,0
Cybersecurity,Machine Learning,3,8,19,33,28,23,NIT,NIT,Canada,Canada,456,693,1,7,0,0,1,1,5,5,8,26.0,52,0
Quantum Computing,Data Science,4,3,16,14,20,20,Private University,NIT,Canada,UK,336,336,2,0,0,0,0,0,1,0,2,15.0,48,0
Data Science,Cybersecurity,6,18,19,33,7,1,IIT,Central University,Australia,India,342,693,6,9,0,0,0,0,12,6,15,26.0,38,0
Robotics,Robotics,6,5,14,31,10,29,Central University,NIT,UK,Australia,168,217,6,1,6,1,0,0,1,19,7,22.5,85,1
Machine Learning,Robotics,7,16,16,45,19,29,NIT,Research Institute,Canada,Germany,352,585,0,9,0,0,0,0,9,10,9,30.5,46,0
Cloud Computing,IoT,17,6,25,17,13,19,Central University,IIT,USA,India,350,136,8,8,0,0,0,0,11,6,16,21.0,48,0
IoT,Machine Learning,22,4,32,28,7,27,IIT,NIT,USA,USA,320,588,0,1,1,0,0,1,18,20,1,30.0,23,0
NLP,Quantum Computing,9,20,16,47,18,22,IIT,Research Institute,USA,USA,272,846,1,8,0,0,0,1,11,4,9,31.5,60,1
Robotics,Cybersecurity,2,5,24,26,27,9,Research Institute,Private University,India,UK,384,130,3,8,1,0,0,0,3,18,11,25.0,51,0
NLP,Cybersecurity,8,11,26,31,14,2,NIT,NIT,USA,Australia,416,248,9,6,1,0,1,0,3,12,15,28.5,40,0
Robotics,Quantum Computing,16,12,27,27,21,19,Central University,Private University,UK,Canada,432,216,9,6,1,0,0,0,4,2,15,27.0,50,0
Robotics,Computer Vision,3,16,29,34,28,8,Central University,Central University,Germany,Germany,667,340,3,2,1,0,1,1,13,20,5,31.5,28,0
